사고형태,기본예방대책
1미터 미만의 높이에서 떨어짐,"### 시설·환경 관리
- 계단, 단상, 낮은 교구 주변 바닥에 충격 흡수 매트를 설치하고 가장자리에 미끄럼 방지 테이프를 부착한다.
- 의자, 안전 발판, 뜀틀 등 1m 미만 시설의 흔들림과 균열을 월 1회 점검하고, 이상 발견 시 즉시 교체하거나 폐기한다.

### 학생 행동·안전교육
- 의자 위에 올라서지 않기, 계단 여러 칸 뛰어내리지 않기 등 '낮은 높이 안전 수칙'을 시연 중심의 체험 교육으로 실시한다.
- 친구 의자 빼기, 높이 뛰어내리기 내기 등 사고 유발 장난의 위험성을 교육하고 발견 즉시 제지하도록 지도한다.

### 감독·운영 관리
- 뜀틀 및 단상 활용 수업 시 교사는 구조물 측면 1.5m 이내에 위치하여 학생의 착지 동작을 밀착 감독한다.
- 게시판 정리나 청소 등 높낮이가 있는 작업 시 교사가 작업용 안전 발판을 직접 고정해 주고 현장 지도한다.

### 사고 발생 시 초기 대응
- 낙상 직후 학생을 억지로 일으키지 않고, 현장에서 의식 확인 및 관절·척추 부위의 통증 유무를 우선 확인한다.
- 보건교사에게 즉시 연락하여 응급처치를 진행하고, 골절이나 머리 충격이 의심되면 보호자 연락 후 병원으로 이송한다."
1미터 이상의 높이에서 떨어짐,"### 시설·환경 관리
- 낙상 위험이 있는 1m 이상 높이의 난간, 계단, 단상 주변에 높이 1.2m 이상의 안전난간을 설치하고 고정 상태를 월 1회 점검한다.
- 무대, 조회대 등 고저차가 있는 구역 하단에는 충격 흡수용 매트를 상시 깔아두고 주변 1.5m 이내의 위험 장애물을 즉시 제거한다.

### 학생 행동·안전교육
- 난간에 몸을 기대거나 난간을 넘어가 장난치는 행위를 금지하는 시뮬레이션 기반 안전교육을 분기별 1회 이상 실시한다.
- 1m 이상 높이 구역에 그어진 '노란색 위험 경계선' 안쪽으로만 이동하는 유효 행동 수칙을 지도하고 시각 표지판 교육을 병행한다.

### 감독·운영 관리
- 쉬는 시간 및 체육 수업 시 위험구역(계단, 조회대, 스탠드)에 교직원 안전 감독관을 지정·배치하여 학생의 위험 행동을 현장에서 제지한다.
- 옥상 출입문, 사다리 등 비인가 고소 구역에 시정장치를 설치하여 상시 잠금 상태를 유지하고 시설 담당자가 일일 점검표를 작성한다.

### 사고 발생 시 초기 대응
- 척추 및 경추 손상 가능성을 고려하여 추락한 학생을 임의로 이동시키지 않고, 의식과 호흡을 확인한 후 즉시 119와 보건교사에게 알린다.
- 사고 발생 지점 주변에 안전 통제선을 설치하여 2차 사고를 차단하고, 보호자 연락 및 교내 긴급 보고 체계를 즉시 가동한다."
감전,"### 시설·환경 관리
- 모든 교실 및 특별실 콘센트에 안전 커버를 설치하고, 누전차단기(ELCB)의 정상 작동 여부를 월 1회 테스트 버튼을 눌러 점검한다.
- 노출된 전선은 배선 몰딩으로 마감 조치하고, 피복이 손상된 전원 코드 및 멀티탭은 즉시 폐기 후 새 제품으로 교체한다.

### 학생 행동·안전교육
- 젖은 손으로 콘센트나 전자기기를 만지지 않도록 실습 및 시각자료를 활용한 안전교육을 실시한다.
- 플러그를 뽑을 때는 전선이 아닌 몸체를 잡고 뽑도록 지도하고, 전자기기에서 찌릿한 느낌이나 발열 발견 시 즉시 교사에게 보고하도록 교육한다.

### 감독·운영 관리
- 행정실 시설관리 담당자는 매월 정기 안전 점검표를 작성하여 학교 내 모든 분전반과 전자기기의 상태를 확인하고 기록을 보관한다.
- 과학실, 정보실 등 전자기기 활용 수업 시 담당 교사는 수업 시작 전 전원 장치 상태를 점검하고, 학생들의 개별 전원 임의 조작을 통제한다.

### 사고 발생 시 초기 대응
- 사고 즉시 해당 구역의 누전차단기를 내려 전원을 차단하고, 차단이 불가능할 경우 절연체(건조한 나무나 플라스틱)를 활용해 피해자를 전원과 분리한다.
- 즉시 119 신고 및 보건교사에게 알린 뒤, 피해자의 의식과 호흡을 확인하여 필요 시 지체 없이 심폐소생술(CPR) 및 자동심장충격기(AED)를 적용한다."
고온의 물체·물질 접촉·흡입·섭취,"### 시설·환경 관리
- 가열 기기 및 온수 배관 주변에 비접촉식 안전 보호망을 설치하고, 눈에 띄는 '고온 주의' 경고 표지판을 부착한다.
- 정수기 및 온수 공급 장치의 출수 온도를 50℃ 이하로 제한 설정하고, 고온 물질 이동 통로의 장애물을 완전히 제거한다.

### 학생 행동·안전교육
- 과학 실험 및 실습 전 내열 장갑과 보호안경 등 개인 보호구 착용을 의무화하고, 올바른 착용 상태를 현장에서 확인한다.
- 뜨거운 식기·용기 이동 시 양손 사용법과 고온 수증기 발생 시 직접 냄새를 맡거나 흡입하지 않는 대피 행동을 시연 중심으로 지도한다.

### 감독·운영 관리
- 급식 배식 및 실험실 가열 작업 시간대에 담당 교직원을 전담 배치하여 학생 간 밀집 및 장난 행동을 즉시 제재한다.
- 시설 관리자는 월 1회 이상 난방기, 온수기, 가열 장비의 누수 및 온도 제어 장치 정상 작동 여부를 정기 점검표에 따라 체크한다.

### 사고 발생 시 초기 대응
- 열상 부위는 즉시 흐르는 찬물(15~20℃)로 20분 이상 냉각하되, 의복이 피부에 붙은 경우 억지로 떼지 않고 옷 위로 물을 흘려보낸다.
- 고온 가스 흡입 또는 물질 섭취 사고 발생 시 환자를 즉시 환기가 잘 되는 장소로 이동시키고, 음료를 강제로 먹이지 않은 상태로 보건교사 호출 및 119에 신고한다."
고정된 물체와의 부딪힘,"### 시설·환경 관리
- 주요 통로 및 체육시설 내 기둥, 모서리 등 충돌 위험이 있는 고정 물체에 완충재(보호 패드)를 설치하고 매월 접착 상태를 점검한다.
- 돌출된 구조물 및 보관함 등에 시인성이 높은 반사 테이프나 경고 표지를 부착하여 학생이 쉽게 인지하도록 조치한다.

### 학생 행동·안전교육
- 이동 중 시야 확보를 위해 '보행 중 스마트폰 사용 금지' 및 '복도 우측통행' 수칙을 행동 실천 중심으로 매월 지도한다.
- 체육 활동 전 주변 고정 물체와의 최소 안전거리(1m 이상)를 학생 스스로 확인하고 복창한 뒤 활동을 시작하게 한다.

### 감독·운영 관리
- 안전 담당자는 학교 내 고정 물체 위험성 평가를 분기별로 실시하고, 위험 요인 발견 시 즉시 시설 보수를 신청한다.
- 쉬는 시간 및 점심시간 등 혼잡 시간에 층별 생활지도 교사를 배치하여 통로에서 뛰는 학생을 현장에서 즉시 제지한다.

### 사고 발생 시 초기 대응
- 사고 즉시 학생의 의식과 부딪힌 부위의 출혈·골절 여부를 확인하고, 보건실로 이송하여 냉찜질 등 응급처치를 시행한다.
- 머리 충격이나 중상 의심 시 즉시 119 신고 및 보호자에게 연락하고, 사고 현장을 사진으로 기록하여 보고서를 작성한다."
곤충·식물 등에 쏘임,"### 시설·환경 관리
- 행정실은 월 1회 교내 화단, 운동장, 건물 외벽을 점검하고 벌집 발견 시 즉시 119나 전문 업체에 의뢰해 제거한다.
- 시설담당자는 교실 방충망의 훼손 여부를 매월 점검·수리하고, 독성 식물이 자라지 않도록 정기적으로 예초 작업을 실시한다.

### 학생 행동·안전교육
- 야외 활동 시 밝은색 옷을 입게 하고, 벌이 접근하면 손을 휘젓지 말고 몸을 낮춰 조용히 이동하도록 지도한다.
- 화단의 식물이나 곤충을 맨손으로 만지지 않도록 지도하고, 야외 수업 전 향이 강한 로션이나 화장품 사용을 금지한다.

### 감독·운영 관리
- 교사는 야외 활동 전 현장을 사전 점검하여 벌집이나 유해 곤충 서식 여부를 확인하고 위험 시 장소를 변경한다.
- 보건교사는 야외 활동용 구급함에 기피제, 항히스타민 연고, 핀셋, 비닐봉지(냉찜질용)를 상시 구비하고 관리한다.

### 사고 발생 시 초기 대응
- 벌침에 쏘였을 때 신용카드 등으로 피부를 밀어 침을 제거하고, 비눗물로 씻은 뒤 얼음찜질을 실시한다.
- 호흡곤란, 두드러기 등 과민 반응(아나필락시스) 발생 즉시 119에 신고하고 보호자에게 통보한다."
교통사고,"### 시설·환경 관리
- 학교 정문 및 교내 승하차 구역에 보행자 전용 펜스와 볼라드를 설치하여 보행로와 차도를 물리적으로 분리한다.
- 교내 차량 서행(10km/h 이하) 유도를 위해 반사경, 과속방지턱, 횡단보도 표지판 등 교통안전시설을 매월 정기 점검하고 보수한다.

### 학생 행동·안전교육
- '서다-보다-걷다' 보행 3원칙과 보행 중 스마트폰 사용 금지 수칙을 포함한 체험형 교통안전 교육을 매학기 실시한다.
- 우천 및 야간 등하교 시 운전자의 시인성을 높일 수 있도록 반사재 가방덮개와 밝은색 우산 착용을 지도한다.

### 감독·운영 관리
- 등하교 시간대에 교직원 및 안전지킴이를 정문과 주요 통학로에 집중 배치하여 학생 보행 통제 및 차량 진입을 지도한다.
- 등하교 시간 교내 일반 차량의 출입을 전면 통제하고, 승하차 전용 구역(Drop-zone)을 지정하여 차량 동선을 일원화한다.

### 사고 발생 시 초기 대응
- 사고 발생 즉시 119에 신고 후 현장 접근을 통제하고, 보건교사가 즉시 출동하여 피해 학생의 상태 확인 및 응급처치를 시행한다.
- 보호자에게 사고 사실을 신속히 알리고, 관할 교육청 보고 및 학교안전공제회 사고 통지 절차를 즉시 진행한다."
그밖의 손상 사고,"### 시설·환경 관리
- 교내 사각지대, 비품실, 야외 공간의 곤충·유해동물 출몰 구역과 뾰족한 돌출물 등 미분류 위험 요소를 월 1회 점검하고 즉시 제거·보수한다.
- 수업용 소형 부품, 세제, 시약 등 신체 손상을 유발할 수 있는 물품은 잠금장치가 있는 전용 수납장에 보관하고 관리 책임자를 지정해 통제한다.

### 학생 행동·안전교육
- 눈·귀·코 등 신체 구멍에 이물질을 넣거나, 야외 곤충·식물 및 정체불명의 물질을 함부로 만지지 않도록 사례 중심의 행동 가이드 교육을 실시한다.
- 원인을 알 수 없는 통증, 가려움, 이물감 등 신체 이상 증상이 나타나면 즉시 교사에게 보고하도록 구체적인 알림 행동을 지도한다.

### 감독·운영 관리
- 특별실 사용 및 야외 활동 전 지도교사가 현장 위해 요소를 사전 점검하고, 활동 중 순찰 및 관찰 주기를 단축하여 특이 사고 발생을 감시한다.
- 보건실 및 주요 활동 공간에 이물질 세척액, 핀셋, 냉찜질 팩 등 기타 손상 대응용 구급 물품을 상시 구비하고 정기적으로 점검한다.

### 사고 발생 시 초기 대응
- 이물질 삽입이나 곤충 쏘임 발생 시 무리한 자가 제거를 금지하고, 즉시 학생을 보건실로 안전하게 이송하여 1차 응급처치를 받게 한다.
- 증상이 지속되거나 중증 이상 반응이 우려될 경우 즉시 119 신고 및 보호자 연락을 취하고, 사고 경위를 상세히 기록하여 재발 방지 자료로 활용한다."
"긁힘, 찔림","### 시설·환경 관리
- 교구 및 시설물의 모서리에 고무 보호 캡을 부착하고, 가시나 금속 돌출부가 있는 책걸상은 즉시 수리하거나 교체한다.
- 칼, 가위, 컴퍼스 등 위험한 도구는 잠금장치가 있는 전용 보관함에 보관하고, 손상된 도구는 즉시 폐기한다.

### 학생 행동·안전교육
- 날카로운 도구를 들고 이동할 때는 안전마개를 씌우고 날 끝이 아래를 향하도록 잡고 걷도록 실습 교육을 실시한다.
- 실습 시 도구의 진행 방향에 반대편 손을 놓지 않도록 안전한 사용 자세를 지도하고, 도구를 들고 장난치는 행위를 금지한다.

### 감독·운영 관리
- 위험 도구를 사용하는 수업 시작 전 교사가 수량을 확인하여 배부하고, 수업 종료 즉시 전량 수거되었는지 개수를 확인한다.
- 시설 담당자는 월 1회 교내 시설물의 긁힘·찔림 위험 요소를 전수 점검하고, 조치 결과를 점검표에 기록하여 관리한다.

### 사고 발생 시 초기 대응
- 상처 부위를 소독된 거즈로 압박하여 지혈하고, 깊이 박힌 이물질은 임의로 제거하지 않은 채 고정하여 즉시 병원으로 이송한다.
- 녹슨 금속이나 오염된 도구에 찔린 경우 보호자에게 즉시 연락하여 파상풍 예방접종 이력을 확인하고 전문 진료를 받도록 안내한다."
기타 호흡 곤란,"### 시설·환경 관리
- 환기 설비 및 공기청정기 필터를 주기적으로 점검·교체하고, 미세먼지 경보 시 실내 공기질 정화 조치를 즉시 시행한다.
- 보건실 및 주요 활동 공간에 응급 처치 키트와 산소 공급 장비를 상시 비치하고 월 1회 이상 작동 상태를 점검한다.

### 학생 행동·안전교육
- 학생들에게 호흡 곤란의 초기 증상(가슴 답답함, 쌕쌕거림 등)을 알리고, 증상 발생 시 즉시 교사에게 알리도록 지도한다.
- 음식물 섭취 시 장난치지 않기, 이물질 입에 넣지 않기 등 기도 폐쇄 예방 수칙과 과호흡 시 심호흡법을 정기적으로 교육한다.

### 감독·운영 관리
- 보건교사는 학기 초 천식·알레르기 등 호흡기 기저질환 학생 현황을 파악하여 담임 및 담당 교사와 대응 정보를 공유한다.
- 전체 교직원을 대상으로 하임리히법, 비상 흡입기 보조, 심폐소생술 등 호흡 긴급 상황 대응 실습 연수를 연 1회 이상 실시한다.

### 사고 발생 시 초기 대응
- 환자의 단추, 벨트 등 압박 의류를 즉시 풀고, 상체를 세운 편안한 앉은 자세를 유지시키며 주변 환기를 확보한다.
- 즉시 119 신고 및 보건교사를 호출하고, 구급대 도착 전까지 의식·호흡 상태를 지속 관찰하며 환자의 불안을 완화한다."
넘어짐,"### 시설·환경 관리
- 계단 끝단 미끄럼 방지(논슬립) 테이프 부착 및 수분 유입 지역(현관, 화장실 입구)에 미끄럼 방지 매트 상시 배치
- 복도와 통로의 전선·장애물을 정돈하고, 튀어나온 장판이나 패인 바닥재를 즉시 교체·보수

### 학생 행동·안전교육
- 통행 시 '우측통행, 주머니에 손 넣지 않기, 뛰지 않기' 수칙을 실생활 중심 시각 자료로 정기 교육
- 보행 중 스마트폰 사용을 금지하고, 헐거운 실내화 착용 금지 및 신발끈 묶기 상태를 수시로 점검 지도

### 감독·운영 관리
- 쉬는 시간과 점심시간 등 이동이 밀집되는 시간대에 교사 지도조를 편성하여 복도 및 계단 순찰 감독 강화
- 바닥에 물기나 오염물 발생 시 즉시 청소하고 건조될 때까지 '미끄럼 주의' 표지판을 설치하여 통제

### 사고 발생 시 초기 대응
- 즉시 통행을 통제하고 환자의 의식과 골절·척추 부상 여부를 확인하며, 중상 의심 시 무리하게 옮기지 않고 119 신고
- 보건교사에게 연락하여 응급처치를 진행하고, 보호자 통보 및 안전담당 교사에게 사고 발생 사실을 즉시 보고"
동물에게 물림(사람 포함),"### 시설·환경 관리
- 학교 울타리와 출입문의 훼손 여부를 주 1회 점검·보수하여 유기견 등 외부 동물의 학교 내 무단 침입을 차단합니다.
- 학내 사육장 및 동물 관찰 공간에는 학생과의 직접 접촉을 방지하는 이중 안전망과 잠금장치를 설치·관리합니다.

### 학생 행동·안전교육
- 낯선 동물을 만났을 때 자극하거나 달아나지 않고 시선을 피하며 정지하는 '나무 자세' 행동 요령을 시각자료로 교육합니다.
- 또래 간 갈등 시 물기 행동을 예방하기 위해 신체 공격 대신 말로 의사를 표현하고 교사에게 도움을 요청하도록 지도합니다.

### 감독·운영 관리
- 야외 수업 및 쉬는 시간 전 배움터지킴이와 담당 교사가 운동장 주변을 순찰하여 위험 동물의 접근 여부를 사전 확인합니다.
- 물기 행동 이력이 있는 학생에게는 야외·집단 활동 시 담당 교직원을 밀착 배치하여 돌발 행동 발생 시 즉시 중재합니다.

### 사고 발생 시 초기 대응
- 교사는 상처 부위를 즉시 흐르는 물과 비누로 15분 이상 세척하여 세균 감염을 최소화하고 멸균 거즈로 응급 처치합니다.
- 보건교사와 보호자에게 즉시 상황을 통보한 후 파상풍 및 광견병 처치를 위해 병원으로 이송하며, 가해 대상(동물·사람)을 안전하게 분리합니다."
물건을 운반하는 중 충격을 가함,"### 시설·환경 관리
- 행정실 및 시설관리원은 복도·계단 등 주 이동경로의 장애물을 치우고, 충돌 위험이 있는 모서리에 보호 패드를 부착·관리한다.
- 학교는 바퀴 달린 전용 운반 대차를 비치하고, 대차의 바퀴 고정장치와 마모 상태를 월 1회 점검하여 정비한다.

### 학생 행동·안전교육
- 교사는 학생이 물건을 들 때 전방 시야가 확보되도록 가슴 아래 높이로 밀착해 들고, 대형 물품은 2인 1조로 운반하도록 시연 교육한다.
- 이동 시에는 뛰지 않고 우측통행을 준수하며, 계단 이용 시 한 손으로 난간을 잡을 수 있는 여유를 확보하도록 지도한다.

### 감독·운영 관리
- 교직원은 학생 체구에 맞게 물품을 분할하여 운반하도록 지시하고, 학생 체중의 10%를 초과하는 과도한 중량물 운반을 금지한다.
- 위험물(유리, 날카로운 도구 등)이나 중량물 운반 시에는 교직원이 직접 현장에 동행하여 전방 안전을 확보하고 감독한다.

### 사고 발생 시 초기 대응
- 즉시 운반을 중단하고 보건교사에게 연락하여 부상자의 타박상·골절 여부를 확인한 후, 냉찜질 및 환부 고정 등 응급처치를 실시한다.
- 현장 교사는 2차 충돌 예방을 위해 주변 통행을 제한하고, 보호자 연락 및 학교 안전보고 절차에 따라 상황을 즉시 공유한다."
